year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2023,10,15,2023/10/15,E,12,日用品,2023101512,19828,
2023,10,15,2023/10/15,F,13,行楽費,2023101513,8619,
2023,10,15,2023/10/15,Z,99,その他,2023101599,75970,両家顔合わせ
2023,10,15,2023/10/15,C,14,電気代,2023101514,10567,
2023,10,15,2023/10/15,G,15,通信費,2023101515,4708,
2023,10,15,2023/10/15,C,16,ガス代,2023101516,1382,
2023,10,15,2023/10/15,G,17,家賃,2023101517,87440,
2023,10,15,2023/10/15,C,18,水道代,2023101518,0,
2023,10,15,2023/10/15,D,19,ガソリン・ETC,2023101519,0,
2023,10,15,2023/10/15,D,20,車維持費,2023101520,24000,
2023,11,15,2023/11/15,A,01,みこ収入,2023111501,114221,
2023,11,15,2023/11/15,A,02,りさ収入,2023111502,66965,
2023,11,15,2023/11/15,A,03,臨時収入,2023111503,0,
2023,11,15,2023/11/15,B,10,食費,2023111510,28201,
2023,11,15,2023/11/15,B,11,外食費,2023111511,10428,
2023,11,15,2023/11/15,E,12,日用品,2023111512,17198,
2023,11,15,2023/11/15,F,13,行楽費,2023111513,1600,
2023,11,15,2023/11/15,Z,99,その他,2023111599,3754,
2023,11,15,2023/11/15,C,14,電気代,2023111514,7618,
2023,11,15,2023/11/15,G,15,通信費,2023111515,4708,
2023,11,15,2023/11/15,C,16,ガス代,2023111516,3940,
2023,11,15,2023/11/15,G,17,家賃,2023111517,87440,
2023,11,15,2023/11/15,C,18,水道代,2023111518,3234,
2023,11,15,2023/11/15,D,19,ガソリン・ETC,2023111519,3933,
2023,11,15,2023/11/15,D,20,車維持費,2023111520,0,
2023,12,15,2023/12/15,A,01,みこ収入,2023121501,123120,
2023,12,15,2023/12/15,A,02,りさ収入,2023121502,74098,
2023,12,15,2023/12/15,A,03,臨時収入,2023121503,0,
2023,12,15,2023/12/15,B,10,食費,2023121510,23008,
2023,12,15,2023/12/15,B,11,外食費,2023121511,13024,
2023,12,15,2023/12/15,E,12,日用品,2023121512,19929,
2023,12,15,2023/12/15,F,13,行楽費,2023121513,41500,
2023,12,15,2023/12/15,Z,99,その他,2023121599,1280,
